"","id","timestamp","age","country","gender","instrument_xp","instrument_desc","music_xp","music_desc","genres","excerpt","color_position","color","expression"
"1",1,"2022-10-20 11:28:24",44,"Brazil","female","yes","Piano and keyboard. Approximately 4 years.","no","I don't have any experience with creating music.","Rock","01","color_1","violet","Tender"
"2",2,"2022-10-20 11:45:39",23,"Netherlands","female","no","I don't play any instrument.","no","I don't have any experience with creating music.","dancehall, hiphop, classic, its a bit all over the place I lisen everyday","01","color_1","green","Tender"
"3",3,"2022-10-20 11:49:31",25,"Sweden","female","no","I don't play any instrument.","no","I don't have any experience with creating music.","I listen to all kind of genres, every day. It can be everything from alternative rock to songs fro musicals.","01","color_1","orange","Tender"
"4",4,"2022-10-20 11:56:39",29,"Sweden","female","no","I don't play any instrument.","no","I don't have any experience with creating music.","Pop, rock, jazz. But only occasionally","01","color_1","green","Tender"
"5",5,"2022-10-20 19:30:03",24,"Germany","male","yes","Ukulele mainly, since 2019.Tried: Guitar, Piano, Ocarina, Harmonica, Kalimba","yes","I did some composing in FL Studio a few years back but I didn't keep trying","Hip Hop - dailyRock (various kinds) - dailyIndie - dailyPop - when I'm in the mood for some ABBA or something, maybe a couple times a weekbasically anything though, I stopped thinking in genres quite some time ago. I listen to music constantly when alone.","01","color_1","green","Tender"
"6",6,"2022-10-20 19:31:22",31,"China","female","no","I don't play any instrument.","no","I don't have any experience with creating music.","Pop music","01","color_1","yellow","Tender"
"7",7,"2022-10-20 19:31:23",31,"China","female","no","I don't play any instrument.","no","I don't have any experience with creating music.","Pop music","01","color_1","yellow","Tender"
"8",8," 2022-10-20 19:31:23",31,"China","female","no","I don't play any instrument.","no","I don't have any experience with creating music.","Pop music","01","color_1","yellow","Tender"
"9",9,"2022-10-20 19:33:51",24,"Spain","female","yes","Saxophone.15 years","yes","I have experience with music production, improvisation and musical synthesis ","I most often listen to pop and ambient. Every day ","01","color_1","orange","Tender"
"10",10,"2022-10-20 19:52:08",22,"Croatia","female","no","I don't play any instrument.","no","I don't have any experience with creating music.","Almost all of them, if I like the song, I will listen to it. I listen to music immediately when people stop talking to me and I do not have to interact with someone or listen to them.","01","color_1","yellow","Tender"
"11",11,"2022-10-20 20:17:32",22,"China","female","yes","Flute for 5 years","no","I don't have any experience with creating music.","Classic Jazzpop","01","color_1","cyan","Tender"
"12",12,"2022-10-20 20:27:06",28,"Ireland","nonbinary","yes","Keyboard, guitar, recorder, each poorly and for a short time (2-3 years). ","yes","Electronic music using Ableton, both from scratch and using samples (other songs, recorded/generated sounds). ","Electronic, house, k-pop, bossa nova, pop ballads, country, indie, disco. I listen to music about 5 out of 7 days in the week. ","01","color_1","yellow","Tender"
"13",13,"2022-10-20 20:31:40",28,"Taiwan","male","yes","Piano, 4 years","no","I don't have any experience with creating music.","Jazz, blue, rap, indie","01","color_1","green","Tender"
"14",14,"2022-10-20 20:35:10",23,"Sweden","female","yes","Violin, 4 years ","no","I don't have any experience with creating music.","Many different, Electronic, post-punk, poprock etc.","01","color_1","orange","Tender"
"15",15,"2022-10-20 20:38:56",22,"China","male","yes","French Horn 6years","yes","I created some music with Logic Pro (for a course)","Pop ","01","color_1","orange","Tender"
"16",16,"2022-10-20 20:42:41",28,"Ireland","male","yes","Mostly acoustic guitar, some electric","no","I don't have any experience with creating music.","Soft/class rock, folk/acoustic, easy listening, pop, country, metal, some bossa nova, some electronic/dance","01","color_1","orange","Tender"
"17",17,"2022-10-20 20:47:45",28,"Brazil","male","no","I don't play any instrument.","no","I don't have any experience with creating music.","Metal, jazz, MPB, punk rock, hardcore, folk music from around the world. Daily.","01","color_1","green","Tender"
"18",18,"2022-10-20 20:49:55",22,"India","male","no","Guitar","yes","For festivals","every genre","01","color_1","yellow","Tender"
"19",19,"2022-10-20 21:26:12",23,"Sweden","female","yes","Oboe, 4 years","yes","Mostly for fun, sometimes sit down and write texts or melodies.","Indie, pop, rock, metal, folk, orchestral, movie music etc. I listen a couple hours every day","01","color_1","red","Tender"
"20",20,"2022-10-21 07:18:41",28,"China","female","yes","clarinet 8yearsaccordion 12years","no","I don't have any experience with creating music.","pop，pure music2hours a week","01","color_1","green","Tender"
"21",21,"2022-10-21 07:30:15",24,"Sweden","male","yes","Piano 2 years, accordion 5 years","no","I don't have any experience with creating music.","Rock, rap, ballads, jazz, pop, edm, folk, choral, orchestral, piano. ~1H/day","01","color_1","violet","Tender"
"22",22,"2022-10-21 07:35:41",26,"Brazil","female","yes","I already tried to learn flute (2 years), violin (a few months) and piano (a few months)","no","I don't have any experience with creating music.","Depends on the mood.","01","color_1","yellow","Tender"
"23",23,"2022-10-21 07:45:56",25,"Singapore","male","yes","Piano, guitar, ukelele","no","I don't have any experience with creating music.","Pop, drill","01","color_1","yellow","Tender"
"24",24,"2022-10-21 07:55:14",23,"Italia","female","no","I don't play any instrument.","no","I don't have any experience with creating music.","Pop, reggeaton","01","color_1","orange","Tender"
"25",25,"2022-10-21 07:57:27",22,"Italia","male","yes","Guitar ","no","I don't have any experience with creating music.","Rock, Pop, Metal, Techno, Techno-house, Indie","01","color_1","red","Tender"
